algorithm,algorithm_variant,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,config_epsilon,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,config_delta,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,double_mg__eps_0p01,1.5,1.5836964271567773,1.5836964271567774e-05,0.9995207161530539,0.01,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260419,uniform,100000,5.79e-05,1.0,100,0.02,0.02,0.02,125000,298,8e-05,12420,1.24e-05,1.0,100,100000,149,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,
double_mg,double_mg__eps_0p05,1.5,1.584140061791967,1.5841400617919673e-05,0.9998125115529852,0.05,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260420,uniform,100000,5.79e-05,1.0,100,0.03,0.03,0.03,125000,58,8e-05,4404,1.24e-05,1.0,100,100000,29,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,
double_mg,double_mg__eps_0p10,1.5,1.584346035015448,1.584346035015448e-05,0.9999603897647152,0.1,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260421,uniform,100000,5.79e-05,1.0,100,0.03,0.03,0.03,125000,28,8e-05,2872,1.24e-05,1.0,100,100000,14,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,
double_ss,double_ss__eps_0p01,1.5,665.4153212390081,0.0066541532123900815,510.3444005839681,0.01,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260422,uniform,100000,0.006612100000000001,115.86792857142858,100,0.02,0.02,0.02,125000,300,0.00667,32684,0.0066576000000000005,585.96,100,100000,150,20260419,150000,non-interleaved,63115,0.00666,666.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,
double_ss,double_ss__eps_0p05,1.5,3331.4157490295493,0.033314157490295496,2554.1903185417395,0.05,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260423,uniform,100000,0.0332721,582.9892142857143,100,0.03,0.03,0.03,125000,60,0.03333,9268,0.0333176,2932.04,100,100000,30,20260419,150000,non-interleaved,63115,0.03332,3332.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,
double_ss,double_ss__eps_0p10,1.5,6665.415543056326,0.06665415543056326,5110.147038437019,0.1,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260424,uniform,100000,0.06661210000000001,1167.153642857143,100,0.03,0.03,0.03,125000,30,0.06667,5356,0.0666576,5865.96,100,100000,15,20260419,150000,non-interleaved,63115,0.06666,6666.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,
count_min,count_min__eps_0p01,1.5,344.7513427869762,0.0034475134278697615,264.3018082826888,0.01,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260425,uniform,100000,0.0034491,60.38896428571428,100,0.0,0.0,0.0,125000,1360,0.00395,53128,0.0034566999999999996,303.85,100,100000,,20260419,150000,non-interleaved,63115,0.0034426,344.26,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,20260425,272,,,,,,,
count_min,count_min__eps_0p05,1.5,1768.045630991048,0.01768045630991048,1355.4140091216714,0.05,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260426,uniform,100000,0.017733600000000002,310.8006904761905,100,0.0,0.0,0.0,125000,275,0.01878,12980,0.0177373,1561.165,100,100000,,20260419,150000,non-interleaved,63115,0.0176814,1768.14,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,20260426,55,,,,,,,
count_min,count_min__eps_0p10,1.5,3501.356048482928,0.03501356048482928,2684.3050197108078,0.1,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260427,uniform,100000,0.0350914,614.8816904761904,100,0.0,0.0,0.0,125000,140,0.03648,7892,0.034984600000000005,3078.715,100,100000,,20260419,150000,non-interleaved,63115,0.0350895,3508.95,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,20260427,28,,,,,,,
count_sketch,count_sketch__eps_0p01,1.5,1.5816683831101956,1.581668383110196e-05,1.2103651120592418,0.01,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260428,uniform,100000,1.6e-05,0.2829404761904762,100,0.17,0.17,0.17,125000,50000,9e-05,525092,1.7e-05,1.475,100,100000,,20260419,150000,non-interleaved,63115,1.55e-05,1.55,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,20260428,10000,,,,,,,
