algorithm_variant,algorithm,family,stream_mode,alpha,final_f1_star,num_runs,config_epsilon,config_delta,config_target_logical_size,avg_norm_abs_error,avg_relative_error,avg_memory_usage_bytes,avg_logical_size,avg_hh_f1
count_min__eps_0p01,count_min,kosarak,non-interleaved,1.5,50000,1,0.01,0.01,,0.0017289719856843145,54.43020933790785,23096.0,1360.0,0.6
count_min__eps_0p01,count_min,kosarak,non-interleaved,1.5,100000,1,0.01,0.01,,0.0017467854191534292,101.04358660480744,36552.0,1360.0,0.57
count_min__eps_0p01,count_min,kosarak,non-interleaved,1.5,200000,1,0.01,0.01,,0.0017346893481068589,190.78894739820123,52676.0,1360.0,0.54
count_min__eps_0p01,count_min,kosarak,non-interleaved,1.5,500000,1,0.01,0.01,,0.0017332226270185113,419.40694510482473,52776.0,1360.0,0.52
count_min__eps_0p01,count_min,kosarak,non-interleaved,2.0,50000,1,0.01,0.01,,0.0017365419987737584,54.77246716365309,23180.0,1360.0,0.61
count_min__eps_0p01,count_min,kosarak,non-interleaved,2.0,100000,1,0.01,0.01,,0.001748521466905188,103.86317448850969,36564.0,1360.0,0.59
count_min__eps_0p01,count_min,kosarak,non-interleaved,2.0,200000,1,0.01,0.01,,0.0017335802215839148,188.98886406384386,52596.0,1360.0,0.55
count_min__eps_0p01,count_min,kosarak,non-interleaved,2.0,500000,1,0.01,0.01,,0.0017398037918435864,421.47275010333004,52776.0,1360.0,0.52
count_min__eps_0p01,count_min,kosarak,non-interleaved,3.0,50000,1,0.01,0.01,,0.001721814787154593,54.03819726135358,23292.0,1360.0,0.59
count_min__eps_0p01,count_min,kosarak,non-interleaved,3.0,100000,1,0.01,0.01,,0.0017197801399109658,101.89271610057907,36492.0,1360.0,0.57
count_min__eps_0p01,count_min,kosarak,non-interleaved,3.0,200000,1,0.01,0.01,,0.0017188410210785654,187.8448743988347,52664.0,1360.0,0.59
