algorithm,algorithm_variant,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,config_capacity,config_target_logical_size,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,config_delta,config_depth,config_width,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,double_mg__L_300,1.5,1.5826982492276005,1.5826982492276003e-05,0.9989129442476508,150,300,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260419,uniform,100000,5.7600000000000004e-05,0.9949047619047618,100,0.02,0.02,0.02,125000,300,8e-05,14044,1.24e-05,1.0,100,100000,150,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,,,
double_ss,double_ss__L_300,1.5,665.4153212390081,0.0066541532123900815,510.3444005839681,150,300,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260420,uniform,100000,0.006612100000000001,115.86792857142858,100,0.02,0.02,0.02,125000,300,0.00667,32684,0.0066576000000000005,585.96,100,100000,150,20260419,150000,non-interleaved,63115,0.00666,666.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,,,
count_min,count_min__L_300,1.5,1619.2391824447436,0.016192391824447438,1241.3281760995612,,300,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260421,uniform,100000,0.016153999999999998,283.10084523809525,100,0.0,0.0,0.0,125000,300,0.01726,13676,0.0162338,1428.145,100,100000,,20260419,150000,non-interleaved,63115,0.016198,1619.8,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,60,5,20260421,60,,,,,,,
count_sketch,count_sketch__L_300,1.5,19.620724075101005,0.00019620724075101006,15.028835874046997,,300,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260422,uniform,100000,0.0002178,3.763595238095238,100,0.0,0.0,0.0,125000,300,0.00101,11196,0.00017889999999999998,16.11,100,100000,,20260419,150000,non-interleaved,63115,0.0002051,20.51,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,60,5,20260422,60,,,,,,,
integrated_sspm,integrated_sspm__L_300,1.5,3.289455755367187,3.289455755367187e-05,2.116677832980614,300,300,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260423,uniform,100000,0.0002198,3.737714285714286,100,0.01,0.01,0.01,125000,300,0.00416,50534,5.3899999999999996e-05,5.15,100,100000,,20260419,150000,non-interleaved,63115,5.15e-05,5.15,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,300,,,,,,
double_mg,double_mg__L_600,1.5,1.583157727956904,1.583157727956904e-05,0.9991957613275841,300,600,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260424,uniform,100000,5.7600000000000004e-05,0.9949047619047618,100,0.03,0.03,0.03,125000,600,8e-05,15652,1.24e-05,1.0,100,100000,300,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,,,
double_ss,double_ss__L_600,1.5,331.41734928305476,0.0033141734928305473,254.29006805415662,300,600,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260425,uniform,100000,0.0032725,57.353119047619046,100,0.02,0.02,0.02,125000,600,0.00333,63660,0.0033177000000000002,292.05,100,100000,300,20260419,150000,non-interleaved,63115,0.0033201000000000003,332.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,,,,
count_min,count_min__L_600,1.5,798.1708310227363,0.007981708310227362,611.8735993254943,,600,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260426,uniform,100000,0.007949699999999999,139.31988095238094,100,0.01,0.01,0.01,125000,600,0.00873,24632,0.0079795,702.165,100,100000,,20260419,150000,non-interleaved,63115,0.0079778,797.78,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,120,5,20260426,120,,,,,,,
count_sketch,count_sketch__L_600,1.5,13.353339142834509,0.00013353339142834508,10.23285184263042,,600,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260427,uniform,100000,0.0001263,2.2452738095238094,100,0.0,0.0,0.0,125000,600,0.00061,16660,0.00015260000000000002,13.8,100,100000,,20260419,150000,non-interleaved,63115,0.0001357,13.57,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,120,5,20260427,120,,,,,,,
integrated_sspm,integrated_sspm__L_600,1.5,3.307407113998257,3.307407113998257e-05,2.1316801152846465,600,600,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260428,uniform,100000,0.00017600000000000002,3.053904761904762,100,0.01,0.01,0.01,125000,600,0.00208,83394,3.31e-05,3.07,100,100000,,20260419,150000,non-interleaved,63115,3.07e-05,3.07,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,600,,,,,,
