family,alpha,final_f1_star,count_min,count_sketch,double_mg,double_ss,integrated_sspm
kosarak,1.5,50000,1360.0,50000.0,298.0,300.0,125.0
kosarak,1.5,100000,1360.0,50000.0,298.0,300.0,125.0
kosarak,1.5,200000,1360.0,50000.0,298.0,300.0,125.0
kosarak,1.5,500000,1360.0,50000.0,298.0,300.0,125.0
kosarak,2.0,50000,1360.0,50000.0,398.0,400.0,150.0
kosarak,2.0,100000,1360.0,50000.0,398.0,400.0,150.0
kosarak,2.0,200000,1360.0,50000.0,398.0,400.0,150.0
kosarak,2.0,500000,1360.0,50000.0,398.0,400.0,150.0
kosarak,3.0,50000,1360.0,50000.0,598.0,600.0,200.0
kosarak,3.0,100000,1360.0,50000.0,598.0,600.0,200.0
kosarak,3.0,200000,1360.0,50000.0,598.0,600.0,200.0
kosarak,3.0,500000,1360.0,50000.0,598.0,600.0,200.0
kosarak,4.0,50000,1360.0,50000.0,798.0,800.0,250.0
kosarak,4.0,100000,1360.0,50000.0,798.0,800.0,250.0
kosarak,4.0,200000,1360.0,50000.0,798.0,800.0,250.0
kosarak,4.0,500000,1360.0,50000.0,798.0,800.0,250.0
kosarak,6.0,50000,1360.0,50000.0,1198.0,1200.0,350.0
kosarak,6.0,100000,1360.0,50000.0,1198.0,1200.0,350.0
kosarak,6.0,200000,1360.0,50000.0,1198.0,1200.0,350.0
kosarak,6.0,500000,1360.0,50000.0,1198.0,1200.0,350.0
kosarak,8.0,50000,1360.0,50000.0,1598.0,1600.0,450.0
kosarak,8.0,100000,1360.0,50000.0,1598.0,1600.0,450.0
kosarak,8.0,200000,1360.0,50000.0,1598.0,1600.0,450.0
kosarak,8.0,500000,1360.0,50000.0,1598.0,1600.0,450.0
uniform,1.5,50000,1360.0,50000.0,298.0,300.0,125.0
uniform,1.5,100000,1360.0,50000.0,298.0,300.0,125.0
uniform,1.5,200000,1360.0,50000.0,298.0,300.0,125.0
uniform,1.5,500000,1360.0,50000.0,298.0,300.0,125.0
uniform,2.0,50000,1360.0,50000.0,398.0,400.0,150.0
uniform,2.0,100000,1360.0,50000.0,398.0,400.0,150.0
uniform,2.0,200000,1360.0,50000.0,398.0,400.0,150.0
uniform,2.0,500000,1360.0,50000.0,398.0,400.0,150.0
uniform,3.0,50000,1360.0,50000.0,598.0,600.0,200.0
uniform,3.0,100000,1360.0,50000.0,598.0,600.0,200.0
uniform,3.0,200000,1360.0,50000.0,598.0,600.0,200.0
uniform,3.0,500000,1360.0,50000.0,598.0,600.0,200.0
uniform,4.0,50000,1360.0,50000.0,798.0,800.0,250.0
uniform,4.0,100000,1360.0,50000.0,798.0,800.0,250.0
uniform,4.0,200000,1360.0,50000.0,798.0,800.0,250.0
uniform,4.0,500000,1360.0,50000.0,798.0,800.0,250.0
uniform,6.0,50000,1360.0,50000.0,1198.0,1200.0,350.0
uniform,6.0,100000,1360.0,50000.0,1198.0,1200.0,350.0
uniform,6.0,200000,1360.0,50000.0,1198.0,1200.0,350.0
uniform,6.0,500000,1360.0,50000.0,1198.0,1200.0,350.0
uniform,8.0,50000,1360.0,50000.0,1598.0,1600.0,450.0
uniform,8.0,100000,1360.0,50000.0,1598.0,1600.0,450.0
uniform,8.0,200000,1360.0,50000.0,1598.0,1600.0,450.0
uniform,8.0,500000,1360.0,50000.0,1598.0,1600.0,450.0
zipf,1.5,50000,1360.0,50000.0,298.0,300.0,125.0
zipf,1.5,100000,1360.0,50000.0,298.0,300.0,125.0
zipf,1.5,200000,1360.0,50000.0,298.0,300.0,125.0
zipf,1.5,500000,1360.0,50000.0,298.0,300.0,125.0
zipf,2.0,50000,1360.0,50000.0,398.0,400.0,150.0
zipf,2.0,100000,1360.0,50000.0,398.0,400.0,150.0
zipf,2.0,200000,1360.0,50000.0,398.0,400.0,150.0
zipf,2.0,500000,1360.0,50000.0,398.0,400.0,150.0
zipf,3.0,50000,1360.0,50000.0,598.0,600.0,200.0
zipf,3.0,100000,1360.0,50000.0,598.0,600.0,200.0
zipf,3.0,200000,1360.0,50000.0,598.0,600.0,200.0
zipf,3.0,500000,1360.0,50000.0,598.0,600.0,200.0
zipf,4.0,50000,1360.0,50000.0,798.0,800.0,250.0
zipf,4.0,100000,1360.0,50000.0,798.0,800.0,250.0
zipf,4.0,200000,1360.0,50000.0,798.0,800.0,250.0
zipf,4.0,500000,1360.0,50000.0,798.0,800.0,250.0
zipf,6.0,50000,1360.0,50000.0,1198.0,1200.0,350.0
zipf,6.0,100000,1360.0,50000.0,1198.0,1200.0,350.0
zipf,6.0,200000,1360.0,50000.0,1198.0,1200.0,350.0
zipf,6.0,500000,1360.0,50000.0,1198.0,1200.0,350.0
zipf,8.0,50000,1360.0,50000.0,1598.0,1600.0,450.0
zipf,8.0,100000,1360.0,50000.0,1598.0,1600.0,450.0
zipf,8.0,200000,1360.0,50000.0,1598.0,1600.0,450.0
zipf,8.0,500000,1360.0,50000.0,1598.0,1600.0,450.0
