algorithm,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,1.5,1.5836964271567773,1.5836964271567774e-05,0.9995207161530539,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260419,uniform,100000,5.79e-05,1.0,100,0.02,0.02,0.02,125000,298,8e-05,12420,1.24e-05,1.0,100,100000,149,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,
double_ss,1.5,665.4153212390081,0.0066541532123900815,510.3444005839681,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260420,uniform,100000,0.006612100000000001,115.86792857142858,100,0.02,0.02,0.02,125000,300,0.00667,32684,0.0066576000000000005,585.96,100,100000,150,20260419,150000,non-interleaved,63115,0.00666,666.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,,,,,,
count_min,1.5,342.8920858749901,0.003428920858749901,262.85396704051186,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260421,uniform,100000,0.0034321,60.11396428571428,100,0.01,0.01,0.01,125000,1360,0.0039,53116,0.0034302,301.77,100,100000,,20260419,150000,non-interleaved,63115,0.0034313,343.13,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",5,20260421,272,,,,,,,
count_sketch,1.5,1.8392299770260636,1.8392299770260636e-05,1.408997898771328,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260422,uniform,100000,1.97e-05,0.3408571428571429,100,0.08,0.08,0.08,125000,50000,0.00012,642640,1.93e-05,1.685,100,100000,,20260419,150000,non-interleaved,63115,1.83e-05,1.83,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",5,20260422,10000,,,,,,,
integrated_sspm,1.5,3.3038421928226254,3.3038421928226255e-05,2.098999822697042,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260423,uniform,100000,0.0003542,6.0332380952380955,100,0.03,0.03,0.03,125000,125,0.00999,23126,1.24e-05,1.0,100,100000,,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,125,,,,,,
double_mg,2.0,1.5802805306652312,1.5802805306652315e-05,0.9981239907545199,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260419,uniform,100000,5.7400000000000006e-05,0.9963333333333334,100,0.02,0.02,0.02,150000,398,8e-05,25436,1.24e-05,1.0,100,100000,199,20260419,200000,non-interleaved,63166,9.9e-06,0.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,
double_ss,2.0,497.4197194693348,0.004974197194693347,381.91501559383215,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260420,uniform,100000,0.0049326000000000005,86.61975000000001,100,0.02,0.02,0.02,150000,400,0.00499,55232,0.0049775999999999996,438.12,100,100000,200,20260419,200000,non-interleaved,63166,0.0049801,498.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,
count_min,2.0,344.2700028496343,0.003442700028496343,264.189202599952,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260421,uniform,100000,0.0034515,60.619547619047616,100,0.0,0.0,0.0,150000,1360,0.00392,53092,0.0034562,304.4,100,100000,,20260419,200000,non-interleaved,63166,0.0034341,343.41,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",5,20260421,272,,,,,,,
count_sketch,2.0,1.8401671785454201,1.8401671785454202e-05,1.4116219093152886,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260422,uniform,100000,1.93e-05,0.3365952380952381,100,0.10000000000000002,0.1,0.1,150000,50000,0.0001,643512,1.9e-05,1.675,100,100000,,20260419,200000,non-interleaved,63166,2.1100000000000005e-05,2.11,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",5,20260422,10000,,,,,,,
integrated_sspm,2.0,3.7262609631763923,3.7262609631763924e-05,2.4197748788905424,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260423,uniform,100000,0.0002553,4.625,100,0.02,0.02,0.02,150000,150,0.00999,25718,1.24e-05,1.0,100,100000,,20260419,200000,non-interleaved,63166,0.0001098,10.98,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,150,,,,,,
